tweet_id retweet_count favorite_count
892420643555336193 8466 38461
892177421306343426 6233 32958
891815181378084864 4133 24820
891689557279858688 8587 41824
891327558926688256 9325 39993
891087950875897856 3087 20065
890971913173991426 2054 11746
890729181411237888 18782 64939
890609185150312448 4240 27586
890240255349198849 7355 31661
890006608113172480 7290 30421
889880896479866881 4945 27564
889665388333682689 9997 47736
889638837579907072 4518 26934
889531135344209921 2225 14973
889278841981685760 5387 25095
888917238123831296 4472 28857
888804989199671297 4298 25390
888554962724278272 3560 19725
888078434458587136 3475 21584
887705289381826560 5357 29926
887517139158093824 11606 45876
887473957103951883 18091 68559
887343217045368832 10338 33410
887101392804085760 5925 30301
886983233522544640 7729 34887
886736880519319552 3273 11962
886680336477933568 4439 22241
886366144734445568 3181 21025
886267009285017600 4 116
886258384151887873 6234 27762
886054160059072513 104 0
885984800019947520 6770 32442
885528943205470208 6390 35700
885518971528720385 3738 20268
885311592912609280 18491 0
885167619883638784 4357 21766
884925521741709313 18332 76847
884876753390489601 5756 27711
884562892145688576 4840 24116
884441805382717440 5616 26776
884247878851493888 20341 72458
884162670584377345 2967 20219
883838122936631299 3426 21731
883482846933004288 9912 45575
883360690899218434 3657 22394
883117836046086144 6643 36918
882992080364220416 3900 23781
882762694511734784 4893 28079
882627270321602560 6063 27702
882268110199369728 11537 44635
882045870035918850 4950 29122
881906580714921986 3387 24111
881666595344535552 10608 50155
881633300179243008 7 126
881536004380872706 15886 49068
881268444196462592 5136 22913
880935762899988482 2769 16881
880872448815771648 3798 21127
880465832366813184 6262 28318
880221127280381952 4209 26851
880095782870896641 4349 27418
879862464715927552 3482 22164
879674319642796034 10 310
879492040517615616 3173 23238
879415818425184262 43982 105083
879376492567855104 3107 16640
879130579576475649 6819 0
879050749262655488 4702 22418
879008229531029506 2678 18836
878776093423087618 4120 19272
878604707211726852 7186 30053
878404777348136964 1283 0
878316110768087041 6639 0
878281511006478336 1283 7691
878057613040115712 6819 41737
877736472329191424 19068 79247
877611172832227328 80 0
877556246731214848 3810 22573
877316821321428993 5163 27178
877201837425926144 5576 26918
876838120628539392 3346 20536
876537666061221889 4613 23302
876484053909872640 2392 18630
876120275196170240 4684 27713
875747767867523072 4284 25028
875144289856114688 4922 21777
875097192612077568 6033 27258
875021211251597312 4711 25308
874680097055178752 4649 27665
874434818259525634 14768 0
874296783580663808 4120 25911
874057562936811520 3958 22521
874012996292530176 10465 34445
873580283840344065 3957 24110
873337748698140672 1592 0
873213775632977920 1592 7212
872967104147763200 5421 27257
872820683541237760 3707 14663
872668790621863937 28 0
872620804844003328 3718 20701
872486979161796608 9046 40544
872261713294495745 6363 34094
872122724285648897 8161 34344
871879754684805121 11270 37937
871762521631449091 3498 20220
871515927908634625 3478 20170
871166179821445120 5740 0
871102520638267392 5545 20904
871032628920680449 3843 22622
870804317367881728 6257 33595
870726314365509632 3 120
870656317836468226 2669 12409
870374049280663552 26481 82695
870308999962521604 4200 21825
870063196459192321 8454 36739
869772420881756160 10148 42456
869702957897576449 6415 28288
869596645499047938 3170 16001
869227993411051520 3836 20487
868880397819494401 14723 65872
868639477480148993 2130 0
868622495443632128 5870 27328
868552278524837888 2130 10186
867900495410671616 4240 24303
867774946302451713 7467 34200
867421006826221569 2565 16226
867072653475098625 128 0
867051520902168576 8023 32459
866720684873056260 4908 20233
866686824827068416 3551 19471
866450705531457537 35983 123277
866334964761202691 14768 53064
866094527597207552 8569 0
865718153858494464 5739 25830
865359393868664832 5113 26730
865006731092295680 7862 28285
864873206498414592 8931 32629
864279568663928832 3114 14779
864197398364647424 9169 30504
863907417377173506 4240 20858
863553081350529029 4278 15480
863471782782697472 2532 0
863432100342583297 5396 24122
863427515083354112 99 2291
863079547188785154 1125 8881
863062471531167744 2532 8650
862831371563274240 5224 19438
862722525377298433 3631 17308
862457590147678208 5102 20826
862096992088072192 23984 75670
861383897657036800 11012 36609
861288531465048066 4291 17460
861005113778896900 3922 16979
860981674716409858 2226 0
860924035999428608 844 0
860563773140209665 2226 7628
860524505164394496 5436 24017
860276583193509888 3588 18597
860184849394610176 6020 16968
860177593139703809 31909 0
859924526012018688 4233 19884
859851578198683649 3626 15675
859607811541651456 1622 18932
859196978902773760 31300 91621
859074603037188101 14076 34564
858860390427611136 8438 0
858843525470990336 3599 15840
858471635011153920 5020 21937
858107933456039936 3023 16060
857989990357356544 2682 16460
857746408056729600 11033 34998
857393404942143489 1707 6052
857263160327368704 4704 20458
857214891891077121 18 235
857062103051644929 178 0
857029823797047296 4167 19355
856602993587888130 11142 0
856543823941562368 3001 16648
856526610513747968 1957 12109
856330835276025856 708 0
856288084350160898 17 528
856282028240666624 6600 28392
855862651834028034 28 356
855860136149123072 1080 5161
855857698524602368 2211 12138
855851453814013952 18513 46563
855818117272018944 5689 27277
855459453768019968 8620 30758
855245323840757760 6269 0
855138241867124737 48 0
854732716440526848 6415 23507
854482394044301312 7225 30195
854365224396361728 4933 19470
854120357044912130 7898 32962
854010172552949760 3315 16701
853760880890318849 6113 29538
853639147608842240 10701 36062
853299958564483072 3760 16054
852936405516943360 2137 0
852912242202992640 1946 9365
852672615818899456 2277 15446
852553447878664193 3726 16964
852311364735569921 10485 34354
852226086759018497 7217 20756
852189679701164033 1675 11891
851953902622658560 10236 0
851861385021730816 23 0
851591660324737024 3682 16823
851464819735769094 7518 25226
851224888060895234 6087 21506
850753642995093505 9893 32288
850380195714523136 2784 13592
850333567704068097 357 3570
850145622816686080 4079 16990
850019790995546112 5221 21304
849776966551130114 8110 31751
849668094696017920 5290 0
849412302885593088 3350 16551
849336543269576704 2016 11920
849051919805034497 9106 44332
848690551926992896 4614 26330
848324959059550208 4923 25872
848213670039564288 802 8538
848212111729840128 3299 17074
847978865427394560 3482 0
847971574464610304 462 0
847962785489326080 5468 24582
847842811428974592 1438 5736
847617282490613760 452 7336
847606175596138505 3626 19633
847251039262605312 4602 21408
847157206088847362 6286 20928
847116187444137987 3417 22442
846874817362120707 4206 21045
846514051647705089 12477 46863
846505985330044928 3326 14830
846153765933735936 9750 33259
846139713627017216 10595 32368
846042936437604353 3105 16777
845812042753855489 9416 30774
845677943972139009 5142 26342
845397057150107648 1954 8008
845306882940190720 5805 24498
845098359547420673 8253 0
844979544864018432 2782 14329
844973813909606400 3460 15894
844704788403113984 11142 40714
844580511645339650 3387 17317
844223788422217728 2368 14331
843981021012017153 3147 15890
843856843873095681 4990 22523
843604394117681152 2965 17767
843235543001513987 6546 22636
842846295480000512 3875 16012
842765311967449089 1373 7106
842535590457499648 3782 19044
842163532590374912 6269 25795
842115215311396866 3272 14767
841833993020538882 16642 0
841680585030541313 8374 27008
841439858740625411 3973 13330
841320156043304961 5871 20829
841314665196081154 5085 16708
841077006473256960 5740 24182
840761248237133825 1900 0
840728873075638272 17558 0
840698636975636481 2 191
840696689258311684 1068 12984
840632337062862849 1900 9475
840370681858686976 4937 17396
840268004936019968 6204 20369
839990271299457024 2493 14186
839549326359670784 8438 29098
839290600511926273 154 0
839239871831150596 7119 28764
838952994649550848 4318 20753
838921590096166913 2253 11817
838916489579200512 36 0
838831947270979586 12028 0
838561493054533637 1438 11545
838476387338051585 5234 23928
838201503651401729 10992 0
838150277551247360 357 1778
838085839343206401 0 147
838083903487373313 3424 18665
837820167694528512 8569 36219
837482249356513284 481 4061
837471256429613056 2507 13556
837366284874571778 5759 22392
837110210464448512 2610 16974
836989968035819520 2495 13495
836753516572119041 5022 20400
836677758902222849 2424 13365
836648853927522308 603 0
836397794269200385 30076 0
836380477523124226 3214 15617
836260088725786625 4671 22548
836001077879255040 4684 20282
835685285446955009 8912 0
835574547218894849 3954 18880
835536468978302976 1856 0
835309094223372289 22951 0
835297930240217089 3262 17405
835264098648616962 1856 8239
835246439529840640 79 2214
835172783151792128 6267 27723
835152434251116546 3299 23852
834931633769889797 1801 11507
834786237630337024 5973 22436
834574053763584002 2771 14542
834477809192075265 11651 0
834458053273591808 1825 10214
834209720923721728 5239 21893
834167344700198914 3963 16724
834089966724603904 2327 10672
834086379323871233 2419 13872
833863086058651648 2629 14245
833826103416520705 3758 16299
833732339549220864 237 0
833722901757046785 3498 21970
833479644947025920 2256 15799
833124694597443584 5290 21469
832998151111966721 2428 14150
832769181346996225 40 0
832757312314028032 3967 17889
832682457690300417 3208 12651
832645525019123713 567 3103
832636094638288896 3064 16883
832397543355072512 2437 12704
832369877331693569 3482 18227
832273440279240704 2554 12031
832215909146226688 6781 0
832215726631055365 10281 0
832088576586297345 2 71
832040443403784192 10647 0
832032802820481025 5105 18992
831939777352105988 6727 25551
831926988323639298 36 362
831911600680497154 7149 29460
831670449226514432 1990 11119
831650051525054464 2137 7644
831552930092285952 2516 9588
831322785565769729 1668 9771
831315979191906304 1224 6946
831309418084069378 2675 12469
831262627380748289 2250 12671
830956169170665475 1644 8499
830583320585068544 18491 71335
830173239259324417 6267 0
830097400375152640 3308 10487
829878982036299777 5515 0
829861396166877184 2151 13056
829501995190984704 11651 33857
829449946868879360 2226 11160
829374341691346946 10236 36948
829141528400556032 8147 26180
829011960981237760 17817 56549
828801551087042563 3732 0
828770345708580865 6467 27285
828708714936930305 12336 39088
828650029636317184 1479 10149
828409743546925057 1265 6710
828408677031882754 1409 8155
828381636999917570 2438 13489
828376505180889089 1169 7892
828372645993398273 3226 13383
828361771580813312 186 2343
828046555563323392 3152 12566
828011680017821696 2360 11067
827933404142436356 5744 21522
827653905312006145 3305 16489
827600520311402496 1042 7907
827324948884643840 3372 16979
827199976799354881 2464 11306
826958653328592898 5515 23101
826848821049180160 11284 39042
826615380357632002 4340 0
826598799820865537 281 5476
826598365270007810 2584 10767
826476773533745153 4619 19696
826240494070030336 2850 14188
826204788643753985 1028 5214
826115272272650244 3450 16774
825876512159186944 2056 11201
825829644528148480 2741 13629
825535076884762624 18966 55723
825147591692263424 5040 19586
825120256414846976 1421 0
825026590719483904 1421 6803
824796380199809024 6054 0
824775126675836928 3893 16022
824663926340194305 1919 10786
824325613288833024 11458 12616
824297048279236611 4264 16108
824025158776213504 652 5112
823939628516474880 2994 11420
823719002937630720 12408 0
823699002998870016 2664 13484
823581115634085888 2926 13972
823333489516937216 29 751
823322678127919110 4439 16904
823269594223824897 10893 0
822975315408461824 3798 18549
822872901745569793 48512 142023
822859134160621569 2519 14159
822647212903690241 7079 0
822610361945911296 3272 15850
822489057087389700 7079 19474
822462944365645825 16256 30628
822244816520155136 10893 37631
822163064745328640 5321 0
821886076407029760 2589 12193
821813639212650496 3696 0
821765923262631936 1844 9044
821522889702862852 1954 8609
821421320206483457 6187 0
821407182352777218 4821 12646
821153421864615936 10 273
821149554670182400 2224 9382
821107785811234820 2356 10315
821044531881721856 2533 13596
820837357901512704 7404 0
820749716845686786 10992 33902
820690176645140481 3565 13117
820494788566847489 627 0
820446719150292993 2855 0
820314633777061888 627 3583
820078625395449857 6949 21278
820013781606658049 1310 0
819952236453363712 1310 5717
819924195358416896 5361 13836
819711362133872643 3478 14473
819588359383371776 2181 10296
819347104292290561 1334 7763
819238181065359361 448 2465
819227688460238848 7404 24851
819015337530290176 40591 0
819015331746349057 20940 0
819006400881917954 20940 48535
819004803107983360 40591 92913
818646164899774465 23116 0
818627210458333184 8255 23888
818614493328580609 2863 10616
818588835076603904 6820 0
818536468981415936 2749 11750
818307523543449600 9014 0
818259473185828864 2536 11864
818145370475810820 2885 13226
817908911860748288 874 5209
817827839487737858 30076 55862
817777686764523521 2958 11520
817536400337801217 3365 12705
817502432452313088 3765 0
817423860136083457 16642 36887
817415592588222464 1072 6057
817181837579653120 9450 0
817171292965273600 2232 9402
817120970343411712 2908 13093
817056546584727552 1831 9227
816829038950027264 5235 0
816816676327063552 2259 10761
816697700272001025 2448 10566
816450570814898180 9014 32950
816336735214911488 2170 9266
816091915477250048 2388 9618
816062466425819140 1162 0
816014286006976512 5898 0
815990720817401858 1162 5386
815966073409433600 9450 24209
815745968457060357 4592 0
815736392542261248 2517 10604
815639385530101762 1835 8859
815390420867969024 4227 11160
814986499976527872 1435 8239
814638523311648768 3011 12173
814578408554463233 6457 0
814530161257443328 2059 9345
814153002265309185 9663 31017
813944609378369540 3577 0
813910438903693312 2096 10014
813812741911748608 15588 39206
813800681631023104 1958 9009
813217897535406080 8108 20173
813202720496779264 2002 9896
813187593374461952 4859 21404
813172488309972993 2129 10073
813157409116065792 2464 8361
813142292504645637 2627 9074
813130366689148928 493 4818
813127251579564032 3482 12799
813112105746448384 3069 11163
813096984823349248 4013 11355
813081950185472002 3082 10654
813066809284972545 2164 8587
813051746834595840 8153 22614
812781120811126785 2126 8178
812747805718642688 7730 0
812709060537683968 1595 7146
812503143955202048 1364 6560
812466873996607488 2142 8632
812372279581671427 4087 14794
811985624773361665 1564 7839
811744202451197953 1792 8148
811647686436880384 826 6037
811627233043480576 3493 13839
811386762094317568 7124 22577
810984652412424192 1591 5756
810896069567610880 1990 9776
810657578271330305 2941 11838
810284430598270976 12718 38325
810254108431155201 3732 15867
809920764300447744 4340 16740
809808892968534016 5463 0
809448704142938112 1635 7487
809220051211603969 6267 21543
809084759137812480 3903 14280
808838249661788160 3381 10914
808733504066486276 2409 8544
808501579447930884 2895 12202
808344865868283904 23116 45954
808134635716833280 6649 0
808106460588765185 2433 9419
808001312164028416 3933 13593
807621403335917568 4110 15767
807106840509214720 60375 121913
807059379405148160 8186 0
807010152071229440 4254 14075
806629075125202948 38917 81320
806620845233815552 6161 0
806576416489959424 2140 5240
806542213899489280 2639 11040
806242860592926720 13050 0
806219024703037440 1338 6942
805958939288408065 6003 0
805932879469572096 2126 8942
805826884734976000 2043 7125
805823200554876929 8978 0
805520635690676224 1845 6202
805487436403003392 2823 9482
805207613751304193 1898 8422
804738756058218496 4301 14873
804475857670639616 2238 6662
804413760345620481 3583 0
804026241225523202 18070 48306
803773340896923648 3090 10874
803692223237865472 8284 0
803638050916102144 4626 11906
803380650405482500 2072 8383
803321560782307329 5935 0
803276597545603072 2757 10856
802952499103731712 2240 9767
802624713319034886 3266 0
802600418706604034 1639 7701
802572683846291456 2799 9681
802323869084381190 6523 17592
802265048156610565 1517 6923
802239329049477120 2906 9824
802185808107208704 297 0
801958328846974976 1906 8351
801854953262350336 261 1907
801538201127157760 2298 8875
801285448605831168 928 6564
801167903437357056 6649 26559
801127390143516673 4441 0
801115127852503040 2327 8747
800859414831898624 107 746
800855607700029440 1814 0
800751577355128832 3097 11380
800513324630806528 3356 14234
800459316964663297 2402 10230
800443802682937345 4820 0
800388270626521089 3130 12074
800188575492947969 4399 0
800141422401830912 2855 16568
800018252395122689 14697 30754
799774291445383169 5233 0
799757965289017345 2411 9099
799422933579902976 2132 8701
799308762079035393 6183 0
799297110730567681 3088 10751
799063482566066176 2743 8774
798933969379225600 5000 14272
798925684722855936 1601 8053
798705661114773508 7382 0
798701998996647937 8721 0
798697898615730177 7254 0
798694562394996736 5537 0
798686750113755136 2594 0
798682547630837760 5276 0
798673117451325440 6205 0
798665375516884993 4336 0
798644042770751489 2066 0
798628517273620480 2192 0
798585098161549313 6377 0
798576900688019456 6549 0
798340744599797760 3750 0
798209839306514432 2847 11253
797971864723324932 3503 12631
797545162159308800 5419 15720
797236660651966464 7400 21700
797165961484890113 31 249
796904159865868288 9943 0
796865951799083009 2122 8312
796759840936919040 3413 12873
796563435802726400 8157 0
796484825502875648 1961 8215
796387464403357696 4652 11931
796177847564038144 15972 0
796149749086875649 15972 35081
796125600683540480 1991 5356
796116448414461957 2703 9852
796080075804475393 2588 9149
796031486298386433 4119 11711
795464331001561088 26579 54038
795400264262053889 3198 10955
795076730285391872 6054 17595
794983741416415232 3767 0
794926597468000259 2584 11145
794355576146903043 11487 0
794332329137291264 2950 10371
794205286408003585 3692 9973
793962221541933056 5463 18246
793845145112371200 2095 9973
793614319594401792 3493 0
793601777308463104 1826 8645
793500921481273345 2660 11598
793286476301799424 10281 26710
793271401113350145 2637 9369
793256262322548741 9301 21664
793241302385262592 3665 11411
793226087023144960 3192 10666
793210959003287553 3144 9686
793195938047070209 6274 16557
793180763617361921 2221 7503
793165685325201412 3101 10193
793150605191548928 1905 6692
793135492858580992 2780 7011
793120401413079041 4358 13762
792913359805018113 4487 15563
792883833364439040 4758 12261
792773781206999040 1876 7965
792394556390137856 4780 14616
792050063153438720 2005 7790
791821351946420224 23459 0
791784077045166082 10776 0
791780927877898241 4232 0
791774931465953280 24764 48917
791672322847637504 3493 12739
791406955684368384 4592 14226
791312159183634433 2837 9522
791026214425268224 4587 0
790987426131050500 2388 10726
790946055508652032 5235 17995
790723298204217344 2590 0
790698755171364864 2127 8884
790581949425475584 7997 22424
790337589677002753 2084 8480
790277117346975746 3577 13596
790227638568808452 3988 0
789986466051088384 2590 10024
789960241177853952 4643 0
789903600034189313 4602 11266
789628658055020548 1983 8154
789599242079838210 2163 7339
789530877013393408 3767 12748
789314372632018944 2564 9328
789280767834746880 5521 0
789268448748703744 2881 9876
789137962068021249 3113 10523
788908386943430656 13818 29671
788765914992902144 11487 29714
788552643979468800 8044 0
788412144018661376 5908 16873
788178268662984705 2366 7843
788150585577050112 1448 6662
